year,team,conference,rating,ranking,secondOrderWins,sos,offense.ranking,offense.rating,offense.success,offense.explosiveness,offense.rushing,offense.passing,offense.standardDowns,offense.passingDowns,offense.runRate,offense.pace,defense.ranking,defense.rating,defense.success,defense.explosiveness,defense.rushing,defense.passing,defense.standardDowns,defense.passingDowns,defense.havoc.total,defense.havoc.frontSeven,defense.havoc.db,specialTeams.rating
2019,Washington State,Pac-12,11.1,28,,,6,41.7,,,,,,,,,95,33.1,,,,,,,,,,2.4
2019,Tennessee,SEC,10.8,29,,,73,27.8,,,,,,,,,19,17.4,,,,,,,,,,0.3
2019,North Carolina,ACC,10.3,30,,,25,35.1,,,,,,,,,43,24.6,,,,,,,,,,-0.3
2019,Navy,American Athletic,9.9,31,,,18,36,,,,,,,,,52,25.5,,,,,,,,,,-0.7
2019,Louisiana,Sun Belt,9.6,32,,,15,36.7,,,,,,,,,65,28.3,,,,,,,,,,1.1
2019,Miami,ACC,9.6,32,,,80,26,,,,,,,,,9,15.6,,,,,,,,,,-0.9
2019,Kentucky,SEC,9.1,34,,,49,30.1,,,,,,,,,34,22.2,,,,,,,,,,1.2
2019,Cincinnati,American Athletic,9.1,34,,,64,29.1,,,,,,,,,31,21.1,,,,,,,,,,1.1
2019,Oklahoma State,Big 12,8.7,36,,,26,35,,,,,,,,,56,26.2,,,,,,,,,,-0.1
2019,Boise State,Mountain West,8.1,37,,,38,32.9,,,,,,,,,48,25,,,,,,,,,,0.2
2019,Virginia Tech,ACC,8,38,,,54,29.9,,,,,,,,,38,23.3,,,,,,,,,,1.4
2019,Missouri,SEC,7.8,39,,,89,24.5,,,,,,,,,17,17.1,,,,,,,,,,0.4
2019,Tulane,American Athletic,7.5,40,,,36,33.1,,,,,,,,,55,25.9,,,,,,,,,,0.3
2019,Michigan State,Big Ten,7.2,41,,,91,24.4,,,,,,,,,13,16.1,,,,,,,,,,-1.1
2019,TCU,Big 12,6.7,42,,,65,28.8,,,,,,,,,35,22.9,,,,,,,,,,0.8
2019,Virginia,ACC,6.3,43,,,47,30.4,,,,,,,,,50,25.2,,,,,,,,,,1.2
2019,Arizona State,Pac-12,6.3,43,,,72,28,,,,,,,,,40,23.7,,,,,,,,,,2
2019,Kansas State,Big 12,6,45,,,65,28.8,,,,,,,,,46,24.8,,,,,,,,,,2
2019,South Carolina,SEC,4.8,46,,,98,23.4,,,,,,,,,29,20.8,,,,,,,,,,2.2
2019,SMU,American Athletic,4.4,47,,,29,34.6,,,,,,,,,65,28.3,,,,,,,,,,-1.9
2019,Pittsburgh,ACC,4.1,48,,,109,20.4,,,,,,,,,11,16,,,,,,,,,,-0.3
2019,Ohio,Mid-American,3.7,49,,,19,35.9,,,,,,,,,97,33.5,,,,,,,,,,1.2
2019,Mississippi State,SEC,3.5,50,,,36,33.1,,,,,,,,,69,28.7,,,,,,,,,,-0.9
2019,Temple,American Athletic,3.2,51,,,87,24.6,,,,,,,,,29,20.8,,,,,,,,,,-0.6
2019,Ole Miss,SEC,2.9,52,,,67,28.6,,,,,,,,,41,23.8,,,,,,,,,,-1.9
2019,Texas Tech,Big 12,2.7,53,,,39,32.5,,,,,,,,,83,31.2,,,,,,,,,,1.4
2019,Nebraska,Big Ten,2.6,54,,,40,32.2,,,,,,,,,61,27.4,,,,,,,,,,-2.2
2019,Wake Forest,ACC,2,55,,,60,29.4,,,,,,,,,68,28.6,,,,,,,,,,1.1
2019,San Diego State,Mountain West,2,55,,,122,16.6,,,,,,,,,15,16.6,,,,,,,,,,2
2019,Florida State,ACC,1.8,57,,,48,30.2,,,,,,,,,60,27.1,,,,,,,,,,-1.3
2019,Western Kentucky,Conference USA,1.7,58,,,96,23.6,,,,,,,,,31,21.1,,,,,,,,,,-0.7
2019,BYU,FBS Independents,1.3,59,,,67,28.6,,,,,,,,,56,26.2,,,,,,,,,,-1.2
2019,Illinois,Big Ten,0.6,60,,,91,24.4,,,,,,,,,53,25.8,,,,,,,,,,2
2019,Louisville,ACC,0.2,61,,,29,34.6,,,,,,,,,98,33.6,,,,,,,,,,-0.8
2019,Louisiana Tech,Conference USA,0.2,61,,,84,25.3,,,,,,,,,48,25,,,,,,,,,,0
2019,Florida Atlantic,Conference USA,-0.6,63,,,67,28.6,,,,,,,,,74,29.5,,,,,,,,,,0.2
2019,Oregon State,Pac-12,-0.7,64,,,35,33.8,,,,,,,,,93,32.8,,,,,,,,,,-1.7
2019,Purdue,Big Ten,-0.7,64,,,45,30.8,,,,,,,,,81,31,,,,,,,,,,-0.4
2019,Wyoming,Mountain West,-1.1,66,,,108,20.5,,,,,,,,,33,21.7,,,,,,,,,,0.1
2019,UAB,Conference USA,-1.4,67,,,118,18.3,,,,,,,,,28,20.2,,,,,,,,,,0.5
2019,Duke,ACC,-1.8,68,,,112,19.7,,,,,,,,,36,23,,,,,,,,,,1.5
2019,Hawai'i,Mountain West,-1.9,69,,,27,34.7,,,,,,,,,113,35.8,,,,,,,,,,-0.9
2019,Marshall,Conference USA,-1.9,69,,,94,23.8,,,,,,,,,58,26.6,,,,,,,,,,0.8
2019,Buffalo,Mid-American,-2,71,,,85,25,,,,,,,,,43,24.6,,,,,,,,,,-2.4
2019,Army,FBS Independents,-2.1,72,,,67,28.6,,,,,,,,,80,30.4,,,,,,,,,,-0.4
2019,Tulsa,American Athletic,-2.5,73,,,87,24.6,,,,,,,,,50,25.2,,,,,,,,,,-2
2019,Liberty,FBS Independents,-2.6,74,,,62,29.3,,,,,,,,,86,32,,,,,,,,,,0.1
2019,California,Pac-12,-2.6,74,,,94,23.8,,,,,,,,,45,24.7,,,,,,,,,,-1.7
2019,Arkansas State,Sun Belt,-2.9,76,,,49,30.1,,,,,,,,,102,34.2,,,,,,,,,,1.3
2019,Syracuse,ACC,-3,77,,,89,24.5,,,,,,,,,75,29.6,,,,,,,,,,2.1
2019,UCLA,Pac-12,-3.9,78,,,71,28.4,,,,,,,,,89,32.5,,,,,,,,,,0.2
2019,Colorado State,Mountain West,-3.9,78,,,79,26.1,,,,,,,,,78,30.1,,,,,,,,,,0.1
2019,Fresno State,Mountain West,-4,80,,,46,30.6,,,,,,,,,98,33.6,,,,,,,,,,-1.1
2019,Colorado,Pac-12,-4.1,81,,,49,30.1,,,,,,,,,105,34.7,,,,,,,,,,0.5
2019,Utah State,Mountain West,-4.3,82,,,77,26.2,,,,,,,,,81,31,,,,,,,,,,0.5
2019,Houston,American Athletic,-4.3,82,,,56,29.6,,,,,,,,,110,35.4,,,,,,,,,,1.5
2019,Central Michigan,Mid-American,-4.4,84,,,80,26,,,,,,,,,71,29,,,,,,,,,,-1.4
2019,Troy,Sun Belt,-4.4,84,,,40,32.2,,,,,,,,,110,35.4,,,,,,,,,,-1.3
2019,Georgia Southern,Sun Belt,-4.5,86,,,101,22.2,,,,,,,,,61,27.4,,,,,,,,,,0.7
2019,Ball State,Mid-American,-4.5,86,,,59,29.5,,,,,,,,,91,32.6,,,,,,,,,,-1.4
2019,Stanford,Pac-12,-4.7,88,,,74,27.2,,,,,,,,,87,32.2,,,,,,,,,,0.3
2019,Southern Mississippi,Conference USA,-4.8,89,,,96,23.6,,,,,,,,,64,27.7,,,,,,,,,,-0.7
2019,Western Michigan,Mid-American,-4.9,90,,,56,29.6,,,,,,,,,89,32.5,,,,,,,,,,-2
2019,Northwestern,Big Ten,-5.5,91,,,123,16.5,,,,,,,,,27,20,,,,,,,,,,-2
2019,Boston College,ACC,-5.7,92,,,44,31.3,,,,,,,,,110,35.4,,,,,,,,,,-1.6
2019,North Texas,Conference USA,-6.1,93,,,85,25,,,,,,,,,91,32.6,,,,,,,,,,1.4
2019,NC State,ACC,-6.3,94,,,102,22,,,,,,,,,76,29.7,,,,,,,,,,1.4
2019,Charlotte,Conference USA,-6.3,94,,,54,29.9,,,,,,,,,107,35.1,,,,,,,,,,-1.1
2019,Maryland,Big Ten,-6.3,94,,,76,26.3,,,,,,,,,79,30.3,,,,,,,,,,-2.4
2019,West Virginia,Big 12,-7,97,,,100,22.9,,,,,,,,,72,29.1,,,,,,,,,,-0.8
2019,Florida International,Conference USA,-7,97,,,102,22,,,,,,,,,73,29.4,,,,,,,,,,0.4
2019,San José State,Mountain West,-7.2,99,,,56,29.6,,,,,,,,,116,36.7,,,,,,,,,,-0.1
2019,Arizona,Pac-12,-8,100,,,49,30.1,,,,,,,,,114,36.1,,,,,,,,,,-2.1
2019,Eastern Michigan,Mid-American,-8.6,101,,,62,29.3,,,,,,,,,118,37.8,,,,,,,,,,-0.1
2019,Miami (OH),Mid-American,-9.2,102,,,111,19.8,,,,,,,,,77,30,,,,,,,,,,0.9
2019,Kansas,Big 12,-9.8,103,,,77,26.2,,,,,,,,,106,34.8,,,,,,,,,,-1.2
2019,South Florida,American Athletic,-9.8,103,,,109,20.4,,,,,,,,,61,27.4,,,,,,,,,,-2.7
2019,Kent State,Mid-American,-10.2,105,,,82,25.9,,,,,,,,,119,37.9,,,,,,,,,,1.8
2019,Vanderbilt,SEC,-10.4,106,,,104,21.8,,,,,,,,,98,33.6,,,,,,,,,,1.4
2019,Georgia State,Sun Belt,-10.5,107,,,60,29.4,,,,,,,,,121,38.4,,,,,,,,,,-1.4
2019,Arkansas,SEC,-10.6,108,,,105,21.7,,,,,,,,,88,32.3,,,,,,,,,,0
2019,Louisiana Monroe,Sun Belt,-10.7,109,,,43,31.5,,,,,,,,,127,40.8,,,,,,,,,,-1.4
2019,Middle Tennessee,Conference USA,-11.3,110,,,74,27.2,,,,,,,,,117,37.4,,,,,,,,,,-1.1
2019,Georgia Tech,ACC,-12,111,,,117,18.8,,,,,,,,,70,28.9,,,,,,,,,,-1.9
2019,Nevada,Mountain West,-12.3,112,,,113,19.4,,,,,,,,,85,31.9,,,,,,,,,,0.3
2019,Coastal Carolina,Sun Belt,-12.8,113,,,98,23.4,,,,,,,,,108,35.3,,,,,,,,,,-0.9
2019,Toledo,Mid-American,-13.7,114,,,83,25.6,,,,,,,,,121,38.4,,,,,,,,,,-0.8
2019,Northern Illinois,Mid-American,-13.9,115,,,106,20.7,,,,,,,,,102,34.2,,,,,,,,,,-0.4
2019,East Carolina,American Athletic,-14,116,,,93,24,,,,,,,,,120,38.1,,,,,,,,,,0.2
2019,Rutgers,Big Ten,-14.6,117,,,121,17.4,,,,,,,,,84,31.8,,,,,,,,,,-0.3
2019,Texas State,Sun Belt,-16.2,118,,,120,17.6,,,,,,,,,94,33,,,,,,,,,,-0.9
2019,New Mexico,Mountain West,-17,119,,,107,20.6,,,,,,,,,123,39.2,,,,,,,,,,1.6
2019,UNLV,Mountain West,-17.4,120,,,114,19.3,,,,,,,,,114,36.1,,,,,,,,,,-0.6
2019,Rice,Conference USA,-18,121,,,127,15.1,,,,,,,,,96,33.2,,,,,,,,,,0.1
2019,South Alabama,Sun Belt,-20.3,122,,,124,16.3,,,,,,,,,101,34,,,,,,,,,,-2.6
2019,New Mexico State,FBS Independents,-22,123,,,115,19,,,,,,,,,126,40.3,,,,,,,,,,-0.6
2019,UT San Antonio,Conference USA,-23.7,124,,,116,18.9,,,,,,,,,128,41.7,,,,,,,,,,-0.9
2019,Old Dominion,Conference USA,-24.4,125,,,129,10.6,,,,,,,,,104,34.3,,,,,,,,,,-0.7
2019,Connecticut,American Athletic,-24.4,125,,,125,16.2,,,,,,,,,125,39.7,,,,,,,,,,-1
2019,UTEP,Conference USA,-25.6,127,,,119,18,,,,,,,,,129,43.5,,,,,,,,,,-0.1
2019,Bowling Green,Mid-American,-27.5,128,,,128,14.9,,,,,,,,,124,39.5,,,,,,,,,,-2.9
2019,Akron,Mid-American,-29.8,129,,,130,7.7,,,,,,,,,108,35.3,,,,,,,,,,-2.2
2019,UMass,FBS Independents,-34.6,130,,,126,15.3,,,,,,,,,130,49.3,,,,,,,,,,-0.5
2019,nationalAverages,,0.7595419847328244,,,,,28.348091603053437,,,,,,,,,,27.599236641221374,,,,,,,,,,0.0053435114503816794
